id,title,content,created_at
1,Introduction to Ruby on Rails,This is a mock AI-generated article for: Introduction to Ruby on Rails. Replace with Gemini API for live content.,2025-11-05 07:24:42
2,Basics of React: Hooks and Components,This is a mock AI-generated article for: Basics of React: Hooks and Components. Replace with Gemini API for live content.,2025-11-05 07:24:42
3,Getting Started with Python,This is a mock AI-generated article for: Getting Started with Python. Replace with Gemini API for live content.,2025-11-05 07:24:42
4,Building REST APIs with Node.js,This is a mock AI-generated article for: Building REST APIs with Node.js. Replace with Gemini API for live content.,2025-11-05 07:24:42
5,Intro to Generative AI: ChatGPT & Gemini,This is a mock AI-generated article for: Intro to Generative AI: ChatGPT & Gemini. Replace with Gemini API for live content.,2025-11-05 07:24:42
6,Version Control with Git and GitHub,This is a mock AI-generated article for: Version Control with Git and GitHub. Replace with Gemini API for live content.,2025-11-05 07:24:42
7,Mastering CSS Flexbox,This is a mock AI-generated article for: Mastering CSS Flexbox. Replace with Gemini API for live content.,2025-11-05 07:24:42
8,Understanding SQL and Databases,This is a mock AI-generated article for: Understanding SQL and Databases. Replace with Gemini API for live content.,2025-11-05 07:24:42
9,Docker for Beginners,This is a mock AI-generated article for: Docker for Beginners. Replace with Gemini API for live content.,2025-11-05 07:24:42
10,Deploying Web Apps on AWS,This is a mock AI-generated article for: Deploying Web Apps on AWS. Replace with Gemini API for live content.,2025-11-05 07:24:42
